Couqley Gemayzeh,,,,,,,,,,,,,,,,,
Menu Engineering WorkSheet,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 1 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Boeuf Stroganoff,63.00,0.25,%,5.23,13.74,,8.51,329.18,865.55,536.37,13.74,High,Low,,Challenge,,Tables
Couqley Steak Frites Lunch,206.00,0.82,%,6.35,19.82,,13.47,"1,307.38","4,082.90","2,775.52",19.82,High,High,,Star,,Tables
Diet 7up Lunch Offer,47.00,0.19,%,0.49,0.00,,-0.49,23.03,0.00,-23.03,0.00,Low,Low,,Dog,,Tables
Diet Pepsi Lunch Offer,105.00,0.42,%,0.49,0.00,,-0.49,51.98,0.00,-51.98,0.00,Low,High,,Workhorse,,Tables
Iced Tea Lunch Offer,1.00,0.00,%,0.54,0.00,,-0.54,0.54,0.00,-0.54,0.00,Low,Low,,Dog,,Tables
Lunch Offer Sea Bass,3.00,0.01,%,15.89,27.93,,12.04,47.66,83.78,36.13,27.93,High,Low,,Challenge,,Tables
Pepsi Lunch Offer,70.00,0.28,%,0.49,0.00,,-0.49,34.65,0.00,-34.65,0.00,Low,Low,,Dog,,Tables
Pepsi Zero Lunch Offer,17.00,0.07,%,0.49,0.00,,-0.49,8.33,0.00,-8.33,0.00,Low,Low,,Dog,,Tables
Poulet Frites Lunch,18.00,0.07,%,5.67,15.32,,9.64,102.10,275.67,173.58,15.32,High,Low,,Challenge,,Tables
Poulet Frites Sandwich,20.00,0.08,%,4.69,12.61,,7.93,93.74,252.26,158.52,12.61,High,Low,,Challenge,,Tables
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 12 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Steak Frites Sandwich,87.00,0.35,%,6.25,15.32,,9.06,543.96,"1,332.42",788.46,15.32,High,High,,Star,,Tables
Group: Whiskey,,,,,,,,,,,,,,,,,
