Couqley Gemayzeh,,,,,,,,,,,,,,,,,
Menu Engineering WorkSheet,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 1 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Orange Juice,45.00,0.18,%,1.14,3.60,,2.46,51.42,162.17,110.75,3.60,Low,Low,,Dog,,Tables
Pepsi,183.00,0.73,%,0.49,2.70,,2.21,90.58,494.63,404.04,2.70,Low,High,,Workhorse,,Tables
Pepsi Zero,61.00,0.24,%,0.49,2.70,,2.21,29.89,164.87,134.98,2.70,Low,Low,,Dog,,Tables
San Pellegrino Large,346.00,1.38,%,1.35,5.41,,4.06,467.10,"1,870.13","1,403.03",5.41,Low,High,,Workhorse,,Tables
San Pellegrino Small,230.00,0.92,%,0.77,2.70,,1.94,176.33,621.67,445.34,2.70,Low,High,,Workhorse,,Tables
Soda,3.00,0.01,%,0.69,2.70,,2.01,2.07,8.11,6.04,2.70,Low,Low,,Dog,,Tables
Tonic,9.00,0.04,%,0.69,2.70,,2.01,6.21,24.33,18.12,2.70,Low,Low,,Dog,,Tables
Water Large,"1,126.00",4.50,%,0.67,3.60,,2.94,750.66,"4,058.09","3,307.43",3.60,Low,High,,Workhorse,,Tables
Group: Dessert,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Creme Brulee,145.00,0.58,%,2.01,7.21,,5.20,291.25,"1,045.02",753.77,7.21,Low,High,,Workhorse,,Tables
Fondant Au Chocolat,143.00,0.57,%,2.59,8.56,,5.97,370.73,"1,223.93",853.19,8.56,Low,High,,Workhorse,,Tables
Pain Perdu,592.00,2.37,%,2.91,9.91,,7.00,"1,722.07","5,866.72","4,144.65",9.91,High,High,,Star,,Tables
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 4 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Sorbets And Ice Cream,114.00,0.46,%,0.00,2.70,,2.70,0.00,308.12,308.12,2.70,Low,High,,Workhorse,,Tables
Tarte Du Jour,40.00,0.16,%,3.08,8.56,,5.48,123.32,342.35,219.03,8.56,Low,Low,,Dog,,Tables
Group: Formulas,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Baron Carafe MONDAY,33.00,0.13,%,3.67,0.00,,-3.67,121.00,0.00,-121.00,0.00,Low,Low,,Dog,,Tables
Creme Brulee MONDAY Formula,4.00,0.02,%,2.01,0.00,,-2.01,8.03,0.00,-8.03,0.00,Low,Low,,Dog,,Tables
Extra Large Portion,87.00,0.35,%,2.01,6.76,,4.75,174.46,587.86,413.40,6.76,Low,High,,Workhorse,,Tables
Fondant Au Chocolat MONDAY Formula,12.00,0.05,%,2.59,0.00,,-2.59,31.11,0.00,-31.11,0.00,Low,Low,,Dog,,Tables
Pain Perdu MONDAY Formula,32.00,0.13,%,2.87,0.00,,-2.87,91.70,0.00,-91.70,0.00,Low,Low,,Dog,,Tables
Petit Couvent Carafe MONDAY,6.00,0.02,%,2.25,0.00,,-2.25,13.50,0.00,-13.50,0.00,Low,Low,,Dog,,Tables
Set Menu 60$,26.00,0.10,%,0.00,54.05,,54.05,0.00,"1,405.40","1,405.40",54.05,High,Low,,Challenge,,Tables
Steak Frites Monday's Formula,49.00,0.20,%,12.69,59.46,,46.77,621.96,"2,913.50","2,291.55",59.46,High,Low,,Challenge,,Tables
Toters Bundle,3.00,0.01,%,0.00,63.06,,63.06,0.00,189.19,189.19,63.06,High,Low,,Challenge,,Tables
Group: Gin/Vodka,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Gordans Gls,2.00,0.01,%,0.65,7.21,,6.56,1.30,14.41,13.11,7.21,High,Low,,Challenge,,Tables
Grey Goose Gls,10.00,0.04,%,1.80,16.22,,14.42,18.00,162.16,144.16,16.22,High,Low,,Challenge,,Tables
Hendrick's Gls,12.00,0.05,%,1.89,10.81,,8.93,22.63,129.73,107.10,10.81,High,Low,,Challenge,,Tables
Ketel One Gls,1.00,0.00,%,1.50,9.91,,8.41,1.50,9.91,8.41,9.91,High,Low,,Challenge,,Tables
Monkey 47 Gls,4.50,0.02,%,6.08,18.02,,11.94,27.37,81.08,53.71,18.02,High,Low,,Challenge,,Tables
Russian Standard Gls,1.00,0.00,%,0.51,7.21,,6.69,0.51,7.21,6.69,7.21,High,Low,,Challenge,,Tables
Group: Hot Drinks,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Cafe Blanc,42.00,0.17,%,0.06,1.80,,1.74,2.57,75.68,73.11,1.80,Low,Low,,Dog,,Tables
Cappuccino,23.00,0.09,%,0.35,3.15,,2.80,8.15,72.52,64.37,3.15,Low,Low,,Dog,,Tables
Espresso Decaf,20.00,0.08,%,0.36,2.25,,1.89,7.18,45.04,37.86,2.25,Low,Low,,Dog,,Tables
Espresso Doppio,41.00,0.16,%,0.68,3.60,,2.93,27.80,147.75,119.96,3.60,Low,Low,,Dog,,Tables
Espresso Intenso,184.00,0.74,%,0.34,2.25,,1.91,62.38,414.42,352.04,2.25,Low,High,,Workhorse,,Tables
Hot Chocolate,9.00,0.04,%,0.06,3.15,,3.09,0.58,28.38,27.80,3.15,Low,Low,,Dog,,Tables
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 5 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Latte,9.00,0.04,%,0.35,3.15,,2.80,3.19,28.38,25.19,3.15,Low,Low,,Dog,,Tables
Tea,62.00,0.25,%,0.22,1.80,,1.58,13.64,111.72,98.08,1.80,Low,Low,,Dog,,Tables
Group: Kids Menu,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Crispy Chicken Strips,29.00,0.12,%,2.41,9.01,,6.60,69.83,261.26,191.43,9.01,High,Low,,Challenge,,Tables
Free Scoop Of Ice Cream,23.00,0.09,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Kids Bistro Burger,14.00,0.06,%,4.49,13.96,,9.48,62.82,195.50,132.68,13.96,High,Low,,Challenge,,Tables
Kids Couqley’s Steak Frites,38.00,0.15,%,4.34,13.51,,9.17,165.03,513.52,348.49,13.51,High,Low,,Challenge,,Tables
Kids Penne Arrabbiata,5.00,0.02,%,2.08,6.08,,4.00,10.38,30.41,20.02,6.08,Low,Low,,Dog,,Tables
Kids Poulet Frites,7.00,0.03,%,3.42,10.81,,7.39,23.96,75.68,51.72,10.81,High,Low,,Challenge,,Tables
Kids Tagliatelle Au Poulet,10.00,0.04,%,3.37,11.26,,7.90,33.66,112.61,78.95,11.26,High,Low,,Challenge,,Tables
Group: Ladies Night,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Couqley Steak Regular  Frites OH,38.00,0.15,%,6.35,28.83,,22.48,241.17,"1,095.50",854.33,28.83,High,Low,,Challenge,,Tables
Fish And Chips OH,1.00,0.00,%,3.99,28.83,,24.84,3.99,28.83,24.84,28.83,High,Low,,Challenge,,Tables
Pave De Saumon OH,1.00,0.00,%,11.06,28.83,,17.77,11.06,28.83,17.77,28.83,High,Low,,Challenge,,Tables
Poulet Frites OH,2.00,0.01,%,5.72,28.83,,23.11,11.43,57.66,46.23,28.83,High,Low,,Challenge,,Tables
Regular Mushroom Steak Frites OH,2.00,0.01,%,5.86,28.83,,22.97,11.72,57.66,45.94,28.83,High,Low,,Challenge,,Tables
Truffle Brie Burger OH,1.00,0.00,%,6.82,28.83,,22.01,6.82,28.83,22.01,28.83,High,Low,,Challenge,,Tables
Group: Les Sauces,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Bearnaise Sauce,65.00,0.26,%,1.37,0.19,,-1.18,88.96,35.14,-53.82,2.70,Low,Low,,Dog,,Tables
Bordelaise Sauce,1.00,0.00,%,0.57,0.00,,-0.57,0.57,0.00,-0.57,2.70,Low,Low,,Dog,,Tables
Couqley Sauce (Steak Frite),604.00,2.41,%,1.09,1.20,,0.11,660.03,"1,067.64",407.61,2.70,Low,High,,Workhorse,,Tables
Mushroom Sauce,183.00,0.73,%,0.69,1.16,,0.47,126.68,227.04,100.37,2.70,Low,High,,Workhorse,,Tables
Roquefort Sauce,25.00,0.10,%,1.15,2.03,,0.88,28.74,48.65,19.91,2.70,Low,Low,,Dog,,Tables
Sauces Aux Herbes (Poulet Frites),48.00,0.19,%,1.12,1.62,,0.51,53.55,91.90,38.35,2.70,Low,Low,,Dog,,Tables
Group: Modifier,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Add Cheddar Cheese Slice,8.00,0.03,%,0.55,1.80,,1.25,4.42,14.41,10.00,1.80,Low,Low,,Dog,,Tables
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 6 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Add Grenadine,4.00,0.02,%,0.33,0.90,,0.57,1.31,3.60,2.30,0.90,Low,Low,,Dog,,Tables
Add Mexican Beer,23.00,0.09,%,0.34,0.90,,0.56,7.89,20.72,12.84,0.90,Low,Low,,Dog,,Tables
Add Truffle Mayo,4.00,0.02,%,0.50,3.60,,3.10,2.00,14.42,12.41,3.60,Low,Low,,Dog,,Tables
Boule Chocolat,34.00,0.14,%,0.80,0.00,,-0.80,27.20,0.00,-27.20,2.25,Low,Low,,Dog,,Tables
Boule Citron,36.00,0.14,%,0.50,0.00,,-0.50,18.00,0.00,-18.00,2.25,Low,Low,,Dog,,Tables
Boule Fraise,15.00,0.06,%,0.55,0.00,,-0.55,8.25,0.00,-8.25,2.25,Low,Low,,Dog,,Tables
Boule Vanille,52.00,0.21,%,0.70,0.00,,-0.70,36.40,0.00,-36.40,2.25,Low,Low,,Dog,,Tables
Creamy,1.00,0.00,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Crispy,80.00,0.32,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Cuit,38.00,0.15,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Cut in Half,77.00,0.31,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Extra 1$,35.00,0.14,%,0.00,0.90,,0.90,0.00,31.53,31.53,0.90,Low,Low,,Dog,,Tables
Extra Caesar Sauce,4.00,0.02,%,0.58,2.25,,1.67,2.31,9.01,6.70,2.25,Low,Low,,Dog,,Tables
Extra Caramel,13.00,0.05,%,0.35,2.25,,1.90,4.58,29.28,24.69,2.25,Low,Low,,Dog,,Tables
Extra Chevre Spring Rolls,9.00,0.04,%,1.07,3.60,,2.53,9.63,32.43,22.80,3.60,Low,Low,,Dog,,Tables
Extra Chicken,45.00,0.18,%,1.28,3.60,,2.33,57.46,162.18,104.72,3.60,Low,Low,,Dog,,Tables
Extra Fresh Goat Cheese,0.00,0.00,%,0.61,1.80,,1.19,0.00,0.00,0.00,1.80,Low,Low,,Dog,,Tables
Extra Fries,106.00,0.42,%,0.92,0.00,,-0.92,97.94,0.00,-97.94,0.00,Low,High,,Workhorse,,Tables
Extra Full Chicken Breast,1.00,0.00,%,2.30,7.21,,4.91,2.30,7.21,4.91,7.21,Low,Low,,Dog,,Tables
Extra Grilled Potatoes & Vegetables,30.00,0.12,%,0.58,0.00,,-0.58,17.49,0.00,-17.49,0.00,Low,Low,,Dog,,Tables
Extra Parmesan,9.00,0.04,%,1.35,0.00,,-1.35,12.13,0.00,-12.13,0.00,Low,Low,,Dog,,Tables
Extra Shrimp,6.00,0.02,%,1.80,5.41,,3.61,10.80,32.43,21.63,5.41,Low,Low,,Dog,,Tables
Extra Side Salad,92.00,0.37,%,0.11,0.00,,-0.11,9.79,0.00,-9.79,0.00,Low,High,,Workhorse,,Tables
Extra Tagliatelle,15.00,0.06,%,1.12,8.11,,6.98,16.88,121.62,104.75,8.11,High,Low,,Challenge,,Tables
Extra Tartare Sauce,5.00,0.02,%,0.27,0.00,,-0.27,1.35,0.00,-1.35,0.00,Low,Low,,Dog,,Tables
Extra Truffle Oil,1.00,0.00,%,0.63,1.80,,1.18,0.63,1.80,1.18,1.80,Low,Low,,Dog,,Tables
Extra Vegetables,113.00,0.45,%,0.58,1.80,,1.22,65.89,203.62,137.73,1.80,Low,High,,Workhorse,,Tables
Medium,948.00,3.79,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
Medium Rare,594.00,2.37,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
Medium Well,"1,707.00",6.82,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
Mi Cuit,25.00,0.10,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
No Cheddar Cheese,11.00,0.04,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 7 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
No Cocktail Sauce,8.00,0.03,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
No Frite,76.00,0.30,%,-0.92,0.00,,0.92,-70.22,0.00,70.22,0.00,Low,Low,,Dog,,Tables
No Lettuce,10.00,0.04,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
No Onion,27.00,0.11,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
No Pickles,33.00,0.13,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
No Tomato,22.00,0.09,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Normal,34.00,0.14,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Not Spicy,29.00,0.12,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Nuts,126.00,0.50,%,0.25,0.00,,-0.25,31.75,0.00,-31.75,0.00,Low,High,,Workhorse,,Tables
Rare,89.00,0.36,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
Replace with Rice,1.00,0.00,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Sauce on the side,303.00,1.21,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
Spicy,69.00,0.28,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Tarte aux Fraises,30.00,0.12,%,2.63,0.00,,-2.63,78.96,0.00,-78.96,0.00,Low,Low,,Dog,,Tables
Tarte aux Noix,9.00,0.04,%,2.30,0.00,,-2.30,20.68,0.00,-20.68,0.00,Low,Low,,Dog,,Tables
Well Done,483.00,1.93,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
Wet Wipes,187.00,0.75,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,High,,Workhorse,,Tables
White Sauce Only,8.00,0.03,%,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,Low,Low,,Dog,,Tables
Group: Plats Principaux,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Crispy Chicken Burger,1.00,0.00,%,2.95,10.81,,7.86,2.95,10.81,7.86,10.81,High,Low,,Challenge,,Tables
Duck Confit,89.00,0.36,%,9.93,28.83,,18.90,884.07,"2,565.78","1,681.71",28.83,High,High,,Star,,Tables
Fish And Chips,40.00,0.16,%,3.99,23.42,,19.43,159.63,936.92,777.29,23.42,High,Low,,Challenge,,Tables
Grilled Shrimp Platter,25.00,0.10,%,10.58,33.33,,22.75,264.54,833.33,568.79,33.33,High,Low,,Challenge,,Tables
Moules Frites,65.00,0.26,%,14.81,36.04,,21.22,962.91,"2,342.34","1,379.43",36.04,High,Low,,Challenge,,Tables
Pave De Saumon,64.00,0.26,%,11.06,30.63,,19.57,707.90,"1,960.38","1,252.48",30.63,High,Low,,Challenge,,Tables
Penne Arrabbiata,45.00,0.18,%,3.29,10.81,,7.52,148.04,486.50,338.45,10.81,High,Low,,Challenge,,Tables
Poulet Frites,258.00,1.03,%,5.72,17.57,,11.85,"1,474.55","4,497.38","3,022.83",17.57,High,High,,Star,,Tables
Sea Bass En Papillote,62.00,0.25,%,10.68,29.73,,19.05,662.12,"1,843.25","1,181.14",29.73,High,Low,,Challenge,,Tables
Shrimp Roll,24.00,0.10,%,5.14,16.22,,11.08,123.32,389.18,265.86,16.22,High,Low,,Challenge,,Tables
Tagliatelle Au Poulet,67.00,0.27,%,5.25,17.57,,12.32,351.52,"1,177.05",825.53,17.57,High,Low,,Challenge,,Tables
Group: Prosecco,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 8 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Martini Prosecco,6.00,0.02,%,8.33,25.23,,16.89,49.99,151.35,101.35,25.23,High,Low,,Challenge,,Tables
Group: Red Wine - Europe,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
