Couqley Gemayzeh,,,,,,,,,,,,,,,
Complete Report,,,,,,,,,,,,,,,
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 1 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Branch: Couqley Gemayzeh,,,,,,,,,,,,,,,
Division: Alcoholic Beverages,,,,,,,,,,,,,,,
Group: Apero,,,,,,,,,,,,,,,
Monkey 47 Gls,4.50,81.08,,0.00,0.00,,0.00,0.00,0.00,0.00,4.50,81.08,,,22.67
Russian Standard Gls,1.00,7.21,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,7.21,,,2.02
Gin/Vodka,26.50,357.66,,0.00,0.00,,0.00,0.00,0.00,0.00,26.50,357.66,,,21.11
Group: Spirits/Digestif,,,,,,,,,,,,,,,
Arak Gls,2.00,9.01,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,9.01,,,11.30
Armagnac,1.00,12.61,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,12.61,,,15.82
Fernet Shot,2.00,14.41,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,14.41,,,18.08
Goldschlager Shot,1.00,3.60,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,3.60,,,4.52
Ksara Eau De Vie Gls,4.00,36.04,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,36.04,,,45.20
Lemoncello Shot,1.00,4.05,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,4.05,,,5.08
Spirits/Digestif,11.00,79.73,,0.00,0.00,,0.00,0.00,0.00,0.00,11.00,79.73,,,4.49
Group: Tequila,,,,,,,,,,,,,,,
1800 Cristalino Tequila Reserva Gls,5.00,67.57,,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,67.57,,,24.12
Cenote Anejo Gls,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
Cenote Tequila Reposado Gls,1.50,24.32,,0.00,0.00,,0.00,0.00,0.00,0.00,1.50,24.32,,,8.68
Jose Cuervo Tequila Gold Reposado Gls,1.00,7.21,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,7.21,,,2.57
Jose Cuervo Tequila Shot,6.00,18.92,,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,18.92,,,6.75
Mijenta Tequila Reposado Gls,10.00,162.16,,0.00,0.00,,0.00,0.00,0.00,0.00,10.00,162.16,,,57.88
Tequila,23.50,280.18,,0.00,0.00,,0.00,0.00,0.00,0.00,23.50,280.18,,,13.64
Group: Whiskey,,,,,,,,,,,,,,,
Black Label Gls,10.00,90.09,,0.00,0.00,,0.00,0.00,0.00,0.00,10.00,90.09,,,26.04
Chivas 12Y Gls,3.00,27.03,,0.00,0.00,,0.00,0.00,0.00,0.00,3.00,27.03,,,7.81
Glenfiddich 12 Gls,3.00,32.43,,0.00,0.00,,0.00,0.00,0.00,0.00,3.00,32.43,,,9.38
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 4 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Jameson Gls,4.00,28.83,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,28.83,,,8.33
Laphroaig Gls,2.00,25.23,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,25.23,,,7.29
Macallan 12 Gls,5.00,99.10,,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,99.10,,,28.65
Old Parr Gls,4.00,43.24,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,43.24,,,12.50
Whiskey,31.00,345.95,,0.00,0.00,,0.00,0.00,0.00,0.00,31.00,345.95,,,14.41
Alcoholic Beverages,262.00,"2,400.03",,0.00,0.00,,0.00,0.00,0.00,0.00,262.00,"2,400.03",,,100.00
Division: Food,,,,,,,,,,,,,,,
Group: Boeuf,,,,,,,,,,,,,,,
Bistro Burger,105.00,"1,797.29",,0.00,0.00,,0.00,0.00,0.00,0.00,105.00,"1,797.29",,,2.82
Cote De Boeuf N,31.00,"3,630.63",,0.00,0.00,,0.00,0.00,0.00,0.00,31.00,"3,630.63",,,5.69
Entrecote MB2,63.00,"2,951.36",,0.00,0.00,,0.00,0.00,0.00,0.00,63.00,"2,951.36",,,4.62
Filet De Boeuf Prime,134.00,"5,673.86",,0.00,0.00,,0.00,0.00,0.00,0.00,134.00,"5,673.86",,,8.89
Large Couqley Steak Frites,594.00,"19,532.49",,0.00,0.00,,0.00,0.00,0.00,0.00,594.00,"19,532.49",,,30.60
Large Mushroom Steak Frites,63.00,"2,213.51",,0.00,0.00,,0.00,0.00,0.00,0.00,63.00,"2,213.51",,,3.47
Regular Couqley Steak Frites,891.00,"22,546.75",,0.00,0.00,,0.00,0.00,0.00,0.00,891.00,"22,546.75",,,35.32
Regular Mushroom Steak Frites,120.00,"3,320.25",,0.00,0.00,,0.00,0.00,0.00,0.00,120.00,"3,320.25",,,5.20
Steak Tartare,57.00,"1,129.74",,0.00,0.00,,0.00,0.00,0.00,0.00,57.00,"1,129.74",,,1.77
Truffle Brie Burger,46.00,"1,036.06",,0.00,0.00,,0.00,0.00,0.00,0.00,46.00,"1,036.06",,,1.62
Boeuf,"2,104.00","63,831.93",,0.00,0.00,,0.00,0.00,0.00,0.00,"2,104.00","63,831.93",,,100.00
Group: Dessert,,,,,,,,,,,,,,,
Creme Brulee,85.00,612.60,,0.00,0.00,,0.00,0.00,0.00,0.00,85.00,612.60,,,12.99
Fondant Au Chocolat,80.00,684.72,,0.00,0.00,,0.00,0.00,0.00,0.00,80.00,684.72,,,14.52
Pain Perdu,308.00,"3,052.28",,0.00,0.00,,0.00,0.00,0.00,0.00,308.00,"3,052.28",,,64.72
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 5 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Sorbets And Ice Cream,50.00,135.14,,0.00,0.00,,0.00,0.00,0.00,0.00,50.00,135.14,,,2.87
Tarte Du Jour,27.00,231.09,,0.00,0.00,,0.00,0.00,0.00,0.00,27.00,231.09,,,4.90
Dessert,550.00,"4,715.82",,0.00,0.00,,0.00,0.00,0.00,0.00,550.00,"4,715.82",,,6.88
Group: Formulas,,,,,,,,,,,,,,,
Baron Carafe MONDAY,7.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,7.00,0.00,,,0.00
Extra Large Portion,46.00,310.82,,0.00,0.00,,0.00,0.00,0.00,0.00,46.00,310.82,,,11.62
Fondant Au Chocolat MONDAY Formula,4.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,0.00,,,0.00
Pain Perdu MONDAY Formula,10.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,10.00,0.00,,,0.00
Petit Couvent Carafe MONDAY,1.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,0.00,,,0.00
